wavenumber,P88812Cl,P88812NO3,NaNO3
3595,86.57,92.37,105.99
3594,86.45,92.25,106.04
3593,86.42,92.19,106.15
3592,86.32,92.12,106.24
3591,86.32,92.26,106.19
3590,86.69,92.52,105.92
3589,86.87,92.79,105.55
3588,87,92.84,105.41
3587,86.83,92.61,105.57
3586,86.56,92.31,105.93
3585,86.29,92.05,106.21
3584,86.31,92.12,106.19
3583,86.26,92.11,106.28
3582,86.25,92.09,106.25
3581,86.3,92.16,106.24
3580,86.32,92.12,106.25
3579,86.28,92.1,106.27
3578,86.27,92.12,106.27
3577,86.29,92.14,106.29
3576,86.26,92.1,106.29
3575,86.22,92.1,106.28
3574,86.22,92.07,106.32
3573,86.19,92.07,106.32
3572,86.24,92.11,106.3
3571,86.29,92.14,106.27
3570,86.43,92.4,106.01
3569,86.69,92.67,105.7
3568,87,92.8,105.52
3567,86.88,92.61,105.51
3566,86.66,92.41,105.71
3565,86.45,92.12,106.06
3564,86.25,92.13,106.14
3563,86.25,92.08,106.23
3562,86.26,92.13,106.2
3561,86.29,92.13,106.23
3560,86.26,92.07,106.29
3559,86.21,92.04,106.33
3558,86.16,92.05,106.35
3557,86.16,92.01,106.39
3556,86.14,92.04,106.38
3555,86.19,92.08,106.34
3554,86.29,92.18,106.2
3553,86.32,92.21,106.21
3552,86.26,92.12,106.26
3551,86.17,92.02,106.33
3550,86.16,92.04,106.35
3549,86.23,92.13,106.26
3548,86.33,92.23,106.12
3547,86.46,92.26,106.06
3546,86.43,92.25,106.06
3545,86.33,92.13,106.16
3544,86.26,92.04,106.22
3543,86.12,92.01,106.33
3542,86.09,91.95,106.43
3541,86.08,91.97,106.4
3540,86.09,91.99,106.41
3539,86.07,91.97,106.44
3538,86.11,92.04,106.34
3537,86.2,92.09,106.25
3536,86.18,92.01,106.37
3535,86.07,91.94,106.42
3534,86.06,91.94,106.43
3533,86.05,91.93,106.44
3532,86.09,91.98,106.39
3531,86.11,92.02,106.33
3530,86.11,92.01,106.34
3529,86.21,92.11,106.31
3528,86.19,92.08,106.27
3527,86.14,92.01,106.27
3526,86.15,92.02,106.26
3525,86.16,92.1,106.22
3524,86.23,92.08,106.26
3523,86.19,92.02,106.29
3522,86.06,91.93,106.4
3521,86.02,91.94,106.45
3520,86.01,91.91,106.45
3519,86,91.93,106.45
3518,86.01,91.91,106.46
3517,85.97,91.91,106.47
3516,85.99,91.91,106.47
3515,85.98,91.92,106.46
3514,85.95,91.9,106.48
3513,85.96,91.93,106.48
3512,85.94,91.93,106.47
3511,86.07,92.02,106.38
3510,86.09,92.02,106.29
3509,86,91.91,106.39
3508,85.93,91.87,106.48
3507,85.92,91.89,106.46
3506,85.93,91.91,106.46
3505,85.99,91.99,106.37
3504,86.03,92.02,106.28
3503,86.02,91.97,106.3
3502,85.99,91.93,106.36
3501,85.9,91.87,106.43
3500,85.87,91.84,106.47
3499,85.87,91.88,106.49
3498,85.83,91.86,106.49
3497,85.85,91.88,106.47
3496,85.86,91.87,106.44
3495,85.81,91.82,106.49
3494,85.79,91.81,106.52
3493,85.79,91.82,106.51
3492,85.76,91.82,106.51
3491,85.78,91.81,106.5
3490,85.79,91.85,106.48
3489,85.8,91.86,106.46
3488,85.78,91.82,106.45
3487,85.73,91.77,106.45
3486,85.73,91.78,106.5
3485,85.71,91.76,106.52
3484,85.75,91.84,106.47
3483,85.76,91.86,106.46
3482,85.78,91.86,106.43
3481,85.76,91.8,106.42
3480,85.69,91.77,106.47
3479,85.64,91.73,106.54
3478,85.62,91.75,106.52
3477,85.64,91.74,106.56
3476,85.62,91.75,106.54
3475,85.66,91.76,106.52
3474,85.61,91.73,106.55
3473,85.57,91.7,106.55
3472,85.58,91.71,106.52
3471,85.58,91.72,106.53
3470,85.56,91.71,106.53
3469,85.55,91.72,106.54
3468,85.55,91.73,106.5
3467,85.56,91.71,106.53
3466,85.54,91.7,106.57
3465,85.51,91.69,106.58
3464,85.51,91.68,106.53
3463,85.54,91.7,106.54
3462,85.54,91.69,106.53
3461,85.52,91.66,106.55
3460,85.48,91.65,106.59
3459,85.48,91.65,106.57
3458,85.48,91.66,106.59
3457,85.45,91.65,106.6
3456,85.42,91.63,106.61
3455,85.42,91.65,106.6
3454,85.44,91.65,106.59
3453,85.44,91.62,106.62
3452,85.41,91.62,106.61
3451,85.42,91.61,106.64
3450,85.4,91.61,106.61
3449,85.44,91.7,106.56
3448,85.48,91.72,106.49
3447,85.49,91.67,106.51
3446,85.41,91.58,106.57
3445,85.38,91.59,106.6
3444,85.4,91.59,106.59
3443,85.41,91.61,106.58
3442,85.37,91.58,106.6
3441,85.35,91.56,106.65
3440,85.35,91.55,106.63
3439,85.35,91.56,106.6
3438,85.37,91.57,106.64
3437,85.33,91.53,106.61
3436,85.35,91.54,106.63
3435,85.3,91.51,106.63
3434,85.32,91.55,106.64
3433,85.32,91.53,106.65
3432,85.36,91.56,106.62
3431,85.33,91.52,106.65
3430,85.3,91.5,106.66
3429,85.3,91.51,106.65
3428,85.31,91.52,106.68
3427,85.28,91.49,106.67
3426,85.27,91.48,106.68
3425,85.27,91.5,106.68
3424,85.25,91.48,106.66
3423,85.32,91.52,106.64
3422,85.34,91.52,106.63
